ORGANIZATION,TOTAL,PREDICTION
PartyD,2466,MEDIUM
PartyB,5272,LOW
PartyA,1478,MEDIUM
PartyD,1823,MEDIUM
PartyD,5922,LOW
PartyD,2376,MEDIUM
PartyA,1645,MEDIUM
PartyB,6011,LOW
PartyD,6687,LOW
PartyD,5663,LOW
PartyC,-3060,VERY HIGH
PartyD,38,HIGH
PartyC,7064,LOW
PartyA,2278,MEDIUM
PartyC,5500,LOW
PartyB,7872,LOW
PartyD,-2250,VERY HIGH
PartyA,1913,MEDIUM
PartyA,5862,LOW
PartyB,6304,LOW
PartyC,6842,LOW
PartyA,7050,LOW
PartyB,6772,LOW
PartyC,2282,MEDIUM
PartyA,5097,LOW
PartyB,5071,LOW
PartyB,5588,LOW
PartyD,7192,LOW
PartyB,6998,LOW
PartyA,6631,LOW
PartyA,-1520,VERY HIGH
PartyC,1206,MEDIUM
PartyA,1671,MEDIUM
PartyA,1927,MEDIUM
PartyD,2327,MEDIUM
PartyB,-3240,VERY HIGH
PartyD,1113,MEDIUM
PartyC,2008,MEDIUM
PartyB,7132,LOW
PartyC,62,HIGH
PartyA,6532,LOW
PartyC,6201,LOW
PartyC,6467,LOW
PartyD,6948,LOW
PartyD,-6000,VERY HIGH
PartyB,1761,MEDIUM
PartyC,5275,LOW
PartyB,7032,LOW
PartyA,252,HIGH
PartyB,1657,MEDIUM
PartyD,7214,LOW
PartyD,1944,MEDIUM
PartyD,1633,MEDIUM
PartyD,7495,LOW
PartyB,6967,LOW
PartyB,5293,LOW
PartyB,1942,MEDIUM
PartyD,1704,MEDIUM
PartyC,1092,MEDIUM
PartyB,2238,MEDIUM
PartyB,6734,LOW
PartyC,5523,LOW
PartyD,7916,LOW
PartyA,7000,LOW
PartyA,5683,LOW
PartyD,5908,LOW
PartyA,2398,MEDIUM
PartyD,5186,LOW
PartyA,6063,LOW
PartyC,-3300,VERY HIGH
PartyD,1472,MEDIUM
PartyD,5628,LOW
PartyA,6120,LOW
PartyC,1000,MEDIUM
PartyC,-500,VERY HIGH
PartyC,5957,LOW
PartyB,2041,MEDIUM
PartyA,5091,LOW
PartyB,2243,MEDIUM
PartyB,1670,MEDIUM
PartyA,2148,MEDIUM
PartyD,1236,MEDIUM
PartyB,6468,LOW
PartyB,7662,LOW
PartyD,5719,LOW
PartyB,268,HIGH
PartyA,-120,VERY HIGH
PartyA,-6880,VERY HIGH
PartyD,2202,MEDIUM
PartyA,-390,VERY HIGH
PartyA,7762,LOW
PartyC,-7160,VERY HIGH
PartyD,5000,LOW
PartyA,-550,VERY HIGH
PartyB,6791,LOW
PartyC,5354,LOW
PartyD,1898,MEDIUM
PartyB,6800,LOW
PartyA,6571,LOW
PartyB,6875,LOW
PartyC,6548,LOW
PartyC,6028,LOW
PartyD,6514,LOW
PartyB,1825,MEDIUM
PartyA,6289,LOW
PartyB,1028,MEDIUM
PartyB,7390,LOW
PartyB,-1880,VERY HIGH
PartyA,7042,LOW
PartyC,-650,VERY HIGH
PartyD,6846,LOW
PartyA,6573,LOW
PartyC,5942,LOW
PartyA,294,HIGH
PartyD,6569,LOW
PartyD,5000,LOW
PartyC,6276,LOW
PartyD,6146,LOW
PartyA,5994,LOW
PartyA,1670,MEDIUM
PartyC,1054,MEDIUM
PartyA,1488,MEDIUM
PartyD,1121,MEDIUM
PartyC,1424,MEDIUM
PartyB,6656,LOW
PartyB,2306,MEDIUM
PartyB,1332,MEDIUM
PartyA,5900,LOW
PartyB,-3160,VERY HIGH
PartyA,-275,VERY HIGH
PartyB,1036,MEDIUM
PartyC,6861,LOW
PartyA,184,HIGH
PartyB,6552,LOW
PartyC,7768,LOW
PartyC,2018,MEDIUM
PartyA,5778,LOW
PartyD,5690,LOW
PartyC,1010,MEDIUM
PartyB,6506,LOW
PartyC,2458,MEDIUM
PartyB,7752,LOW
PartyD,6108,LOW
PartyA,5460,LOW
PartyD,1442,MEDIUM
PartyA,1014,MEDIUM
PartyD,280,HIGH
PartyB,7924,LOW
PartyD,1173,MEDIUM
PartyB,1044,MEDIUM
PartyD,-900,VERY HIGH
PartyB,6358,LOW
PartyB,2136,MEDIUM
PartyC,1000,MEDIUM
PartyD,2416,MEDIUM
PartyB,2500,MEDIUM
PartyB,5542,LOW
PartyC,-1210,VERY HIGH
PartyB,-7120,VERY HIGH
PartyA,-470,VERY HIGH
PartyD,2127,MEDIUM
PartyB,1456,MEDIUM
PartyD,1270,MEDIUM
PartyC,1734,MEDIUM
PartyC,6441,LOW
PartyD,6202,LOW
PartyD,5240,LOW
PartyB,5830,LOW
PartyD,6538,LOW
PartyC,392,HIGH
PartyC,2238,MEDIUM
PartyC,7431,LOW
PartyC,7080,LOW
PartyC,1034,MEDIUM
PartyD,6154,LOW
PartyA,5201,LOW
PartyC,7910,LOW
PartyD,-1300,VERY HIGH
PartyD,1808,MEDIUM
PartyD,1030,MEDIUM
PartyD,6156,LOW
PartyA,2280,MEDIUM
PartyA,7718,LOW
PartyD,2353,MEDIUM
PartyB,274,HIGH
PartyA,7426,LOW
PartyA,1798,MEDIUM
PartyA,6344,LOW
PartyB,6584,LOW
PartyA,6913,LOW
PartyD,5935,LOW
PartyB,2353,MEDIUM
PartyC,5007,LOW
PartyB,5296,LOW
PartyD,1384,MEDIUM
PartyB,1162,MEDIUM
PartyB,-400,VERY HIGH
PartyA,6559,LOW
PartyD,7353,LOW
PartyB,-2040,VERY HIGH
PartyB,5690,LOW
PartyC,7396,LOW
PartyD,7188,LOW
PartyD,7832,LOW
PartyB,1425,MEDIUM
PartyA,-120,VERY HIGH
PartyC,-2800,VERY HIGH
PartyB,2303,MEDIUM
PartyA,7242,LOW
PartyC,7049,LOW
PartyB,6306,LOW
PartyC,-120,VERY HIGH
PartyA,-1620,VERY HIGH
PartyC,6656,LOW
PartyC,7078,LOW
PartyB,-2360,VERY HIGH
PartyD,7465,LOW
PartyB,5006,LOW
PartyD,2416,MEDIUM
PartyD,6359,LOW
PartyB,1416,MEDIUM
PartyC,1000,MEDIUM
PartyB,6814,LOW
PartyA,-1820,VERY HIGH
PartyC,6767,LOW
PartyC,5186,LOW
PartyB,7368,LOW
PartyC,6388,LOW
PartyD,344,HIGH
PartyC,6586,LOW
PartyB,6567,LOW
PartyB,7177,LOW
PartyD,1064,MEDIUM
PartyB,5954,LOW
PartyC,7400,LOW
PartyC,1510,MEDIUM
PartyA,5212,LOW
PartyD,2276,MEDIUM
PartyC,7550,LOW
PartyB,6480,LOW
PartyC,1095,MEDIUM
PartyB,1218,MEDIUM
PartyA,2105,MEDIUM
PartyA,6300,LOW
PartyB,5844,LOW
PartyA,5510,LOW
PartyB,2215,MEDIUM
PartyC,-1860,VERY HIGH
PartyC,-1660,VERY HIGH
PartyC,5461,LOW
PartyA,7634,LOW
PartyA,6946,LOW
PartyA,7004,LOW
PartyB,5865,LOW
PartyC,7331,LOW
PartyD,1311,MEDIUM
PartyD,38,HIGH
PartyA,10,HIGH
PartyB,1354,MEDIUM
PartyB,2063,MEDIUM
PartyD,-2260,VERY HIGH
PartyA,1169,MEDIUM
PartyC,1980,MEDIUM
PartyC,5718,LOW
PartyB,54,HIGH
PartyB,6336,LOW
PartyA,5861,LOW
PartyC,-5760,VERY HIGH
PartyD,6792,LOW
PartyC,2359,MEDIUM
PartyB,6565,LOW
PartyB,1294,MEDIUM
PartyC,6873,LOW
PartyD,6096,LOW
PartyB,-1220,VERY HIGH
PartyC,2498,MEDIUM
PartyC,5325,LOW
PartyD,-1200,VERY HIGH
PartyB,1350,MEDIUM
PartyA,5847,LOW
PartyB,2112,MEDIUM
PartyC,2283,MEDIUM
PartyD,5230,LOW
PartyD,388,HIGH
PartyB,7196,LOW
PartyA,5694,LOW
PartyC,1738,MEDIUM
PartyC,7268,LOW
PartyC,5236,LOW
PartyC,2009,MEDIUM
PartyA,1750,MEDIUM
PartyD,7684,LOW
PartyC,5813,LOW
PartyC,1912,MEDIUM
PartyB,1974,MEDIUM
PartyB,5370,LOW
PartyD,1881,MEDIUM
PartyA,5407,LOW
PartyC,1338,MEDIUM
PartyB,7134,LOW
PartyD,104,HIGH
PartyD,1834,MEDIUM
PartyC,6898,LOW
PartyD,5438,LOW
PartyA,1360,MEDIUM
PartyB,1437,MEDIUM
PartyB,2418,MEDIUM
PartyA,5788,LOW
PartyB,6626,LOW
PartyB,5508,LOW
PartyB,5436,LOW
PartyA,6136,LOW
PartyA,5584,LOW
PartyD,1326,MEDIUM
PartyD,6219,LOW
PartyB,2340,MEDIUM
PartyB,2140,MEDIUM
PartyB,5304,LOW
PartyD,6740,LOW
PartyD,5398,LOW
PartyB,6850,LOW
PartyC,2323,MEDIUM
PartyB,177,HIGH
PartyA,-5700,VERY HIGH
PartyC,2130,MEDIUM
PartyB,0,HIGH
PartyD,5432,LOW
PartyC,1562,MEDIUM
PartyB,5012,LOW
PartyD,1788,MEDIUM
PartyD,6862,LOW
PartyC,7260,LOW
PartyC,7078,LOW
PartyD,1669,MEDIUM
PartyD,7122,LOW
PartyA,5050,LOW
PartyC,1000,MEDIUM
PartyA,38,HIGH
PartyC,1861,MEDIUM
PartyA,1345,MEDIUM
PartyA,-120,VERY HIGH
PartyA,7038,LOW
PartyB,7298,LOW
PartyA,5252,LOW
PartyD,5038,LOW
PartyD,6544,LOW
PartyB,0,HIGH
PartyA,-2340,VERY HIGH
PartyA,1335,MEDIUM
PartyD,7482,LOW
PartyB,1783,MEDIUM
PartyB,1981,MEDIUM
PartyB,1576,MEDIUM
PartyC,6372,LOW
PartyD,-300,VERY HIGH
PartyD,1297,MEDIUM
PartyA,-5200,VERY HIGH
PartyB,-3140,VERY HIGH
PartyC,7349,LOW
PartyA,5668,LOW
PartyA,-120,VERY HIGH
PartyC,5143,LOW
PartyC,6511,LOW
PartyC,7239,LOW
PartyB,1855,MEDIUM
PartyC,7330,LOW
PartyA,-120,VERY HIGH
PartyC,2244,MEDIUM
PartyC,5134,LOW
PartyC,1314,MEDIUM
PartyD,5086,LOW
PartyA,2210,MEDIUM
PartyD,5000,LOW
PartyB,-3460,VERY HIGH
PartyC,2270,MEDIUM
PartyA,6521,LOW
PartyB,6363,LOW
PartyA,7930,LOW
PartyC,6330,LOW
PartyC,6156,LOW
PartyA,-1920,VERY HIGH
PartyC,-4960,VERY HIGH
PartyD,5242,LOW
PartyB,7283,LOW
PartyB,6042,LOW
PartyB,1603,MEDIUM
PartyD,6528,LOW
PartyD,-620,VERY HIGH
PartyB,7624,LOW
PartyA,2130,MEDIUM
PartyB,5690,LOW
PartyB,6393,LOW
PartyA,6710,LOW
PartyB,165,HIGH
PartyC,1922,MEDIUM
PartyD,7253,LOW
PartyB,6855,LOW
PartyC,162,HIGH
PartyB,7398,LOW
PartyA,6498,LOW
PartyA,6515,LOW
PartyC,2470,MEDIUM
PartyC,-3780,VERY HIGH
PartyC,5769,LOW
PartyC,1424,MEDIUM
PartyB,1643,MEDIUM
PartyA,1212,MEDIUM
PartyD,7330,LOW
PartyB,6489,LOW
PartyD,5351,LOW
PartyD,1788,MEDIUM
PartyB,7978,LOW
PartyB,6130,LOW
PartyC,2050,MEDIUM
PartyB,6548,LOW
PartyD,5054,LOW
PartyB,7138,LOW
PartyB,7378,LOW
PartyC,-560,VERY HIGH
PartyB,6488,LOW
PartyD,5307,LOW
PartyA,-2400,VERY HIGH
PartyC,4,HIGH
PartyC,1000,MEDIUM
PartyA,1031,MEDIUM
PartyB,1876,MEDIUM
PartyB,1700,MEDIUM
PartyD,6555,LOW
PartyB,1312,MEDIUM
PartyB,7288,LOW
PartyD,5698,LOW
PartyD,6430,LOW
PartyB,22,HIGH
PartyB,2237,MEDIUM
PartyC,6878,LOW
PartyD,5007,LOW
PartyC,6734,LOW
PartyA,1446,MEDIUM
PartyA,5966,LOW
PartyC,1336,MEDIUM
PartyD,1184,MEDIUM
PartyB,1870,MEDIUM
PartyB,2264,MEDIUM
PartyC,7778,LOW
PartyB,6068,LOW
PartyC,1124,MEDIUM
PartyC,1002,MEDIUM
PartyA,-7560,VERY HIGH
PartyB,6939,LOW
PartyC,2320,MEDIUM
PartyA,5380,LOW
PartyA,2304,MEDIUM
PartyA,6426,LOW
PartyC,1658,MEDIUM
PartyB,5904,LOW
PartyB,-1440,VERY HIGH
PartyB,2376,MEDIUM
PartyA,6919,LOW
PartyB,6491,LOW
PartyB,1204,MEDIUM
PartyA,1116,MEDIUM
PartyB,6522,LOW
PartyA,6042,LOW
PartyA,5184,LOW
PartyC,6382,LOW
PartyB,1148,MEDIUM
PartyD,2411,MEDIUM
PartyB,2154,MEDIUM
PartyB,6990,LOW
PartyA,5585,LOW
PartyD,6712,LOW
PartyA,90,HIGH
PartyC,2179,MEDIUM
PartyD,6349,LOW
PartyC,6212,LOW
PartyA,5722,LOW
PartyD,6515,LOW
PartyA,6881,LOW
PartyC,1956,MEDIUM
PartyA,5983,LOW
PartyC,7170,LOW
PartyB,7840,LOW
PartyB,1034,MEDIUM
PartyB,1302,MEDIUM
PartyA,1032,MEDIUM
PartyC,7374,LOW
PartyD,5870,LOW
PartyB,1952,MEDIUM
PartyC,5646,LOW
PartyD,2003,MEDIUM
PartyD,6652,LOW
PartyB,0,HIGH
PartyC,5688,LOW
PartyD,5396,LOW
PartyA,236,HIGH
PartyC,1000,MEDIUM
PartyA,92,HIGH
PartyB,7409,LOW
PartyA,5076,LOW
PartyC,5028,LOW
PartyA,7129,LOW
PartyB,6484,LOW
PartyB,7385,LOW
PartyB,2305,MEDIUM
PartyD,1179,MEDIUM
PartyD,36,HIGH
PartyA,1766,MEDIUM
PartyC,5730,LOW
PartyD,6847,LOW
PartyC,1076,MEDIUM
PartyD,1861,MEDIUM
PartyD,1503,MEDIUM
PartyB,6974,LOW
PartyB,5036,LOW
PartyD,6876,LOW
PartyC,7264,LOW
PartyD,1470,MEDIUM
PartyD,6874,LOW
PartyD,1312,MEDIUM
PartyC,1246,MEDIUM
PartyB,5760,LOW
PartyA,6423,LOW
PartyA,6845,LOW
PartyB,6000,LOW
PartyC,7063,LOW
PartyB,66,HIGH
PartyB,5790,LOW
PartyA,7524,LOW
PartyD,7418,LOW
PartyA,7141,LOW
PartyC,6510,LOW
PartyA,5182,LOW
PartyD,1457,MEDIUM
PartyC,1585,MEDIUM
PartyA,7322,LOW
PartyC,5373,LOW
PartyD,7552,LOW
PartyA,1120,MEDIUM
PartyD,-2370,VERY HIGH
PartyA,7276,LOW
PartyA,7329,LOW
PartyC,5306,LOW
PartyD,7070,LOW
PartyC,112,HIGH
PartyD,6150,LOW
PartyA,7860,LOW
PartyC,6202,LOW
PartyD,5000,LOW
PartyC,7972,LOW
PartyD,1548,MEDIUM
PartyB,5996,LOW
PartyA,7143,LOW
PartyC,7570,LOW
PartyA,1315,MEDIUM
PartyC,1391,MEDIUM
PartyB,-480,VERY HIGH
PartyA,1505,MEDIUM
PartyA,2292,MEDIUM
PartyA,1742,MEDIUM
PartyA,169,HIGH
PartyA,6293,LOW
PartyA,130,HIGH
PartyA,1508,MEDIUM
PartyC,7674,LOW
PartyA,6484,LOW
PartyA,5803,LOW
PartyB,1360,MEDIUM
PartyA,7228,LOW
PartyD,7406,LOW
PartyC,6078,LOW
PartyB,0,HIGH
PartyD,-60,VERY HIGH
PartyC,7692,LOW
PartyC,6100,LOW
PartyA,7350,LOW
PartyB,1033,MEDIUM
PartyC,6970,LOW
PartyD,6502,LOW
PartyA,-1080,VERY HIGH
PartyB,5098,LOW
PartyA,364,HIGH
PartyD,7244,LOW
PartyB,-5340,VERY HIGH
PartyA,7906,LOW
PartyC,1800,MEDIUM
PartyD,6112,LOW
PartyC,2022,MEDIUM
PartyD,-1450,VERY HIGH
PartyA,6444,LOW
PartyB,1950,MEDIUM
PartyB,0,HIGH
PartyB,2183,MEDIUM
PartyA,160,HIGH
PartyB,2043,MEDIUM
PartyD,6674,LOW
PartyB,6904,LOW
PartyB,2230,MEDIUM
PartyD,5694,LOW
PartyC,7340,LOW
PartyC,6802,LOW
PartyC,5300,LOW
PartyB,1755,MEDIUM
PartyD,-7160,VERY HIGH
PartyC,5159,LOW
PartyA,2115,MEDIUM
PartyA,6832,LOW
PartyB,6252,LOW
PartyC,6958,LOW
PartyC,1180,MEDIUM
PartyD,1028,MEDIUM
PartyD,-1870,VERY HIGH
PartyB,7820,LOW
PartyB,2016,MEDIUM
PartyC,6804,LOW
PartyB,6986,LOW
PartyA,7426,LOW
PartyC,6369,LOW
PartyA,6932,LOW
PartyC,1065,MEDIUM
PartyA,7189,LOW
PartyC,2438,MEDIUM
PartyD,6688,LOW
PartyC,-2980,VERY HIGH
PartyB,7584,LOW
PartyB,7245,LOW
PartyD,5071,LOW
PartyB,5910,LOW
PartyB,6736,LOW
PartyC,5974,LOW
PartyD,1876,MEDIUM
PartyB,5878,LOW
PartyC,5419,LOW
PartyC,1074,MEDIUM
PartyB,23,HIGH
PartyC,7093,LOW
PartyA,1035,MEDIUM
PartyB,5898,LOW
PartyC,1924,MEDIUM
PartyD,5530,LOW
PartyB,5541,LOW
PartyA,1352,MEDIUM
PartyC,1400,MEDIUM
PartyB,-710,VERY HIGH
PartyB,148,HIGH
PartyA,6691,LOW
PartyB,7476,LOW
PartyD,7540,LOW
PartyD,1758,MEDIUM
PartyD,6665,LOW
PartyA,6474,LOW
PartyA,5797,LOW
PartyB,7101,LOW
PartyC,7724,LOW
PartyA,6704,LOW
PartyD,5000,LOW
PartyD,7302,LOW
PartyB,5875,LOW
PartyB,6949,LOW
PartyA,1128,MEDIUM
PartyC,6104,LOW
PartyC,7788,LOW
PartyA,1462,MEDIUM
PartyA,1769,MEDIUM
PartyD,7350,LOW
PartyC,6361,LOW
PartyB,-2125,VERY HIGH
PartyB,2083,MEDIUM
PartyD,5452,LOW
PartyC,6488,LOW
PartyA,1771,MEDIUM
PartyD,5084,LOW
PartyC,6218,LOW
PartyA,1568,MEDIUM
PartyD,2307,MEDIUM
PartyA,-120,VERY HIGH
PartyC,-1440,VERY HIGH
PartyD,5988,LOW
PartyA,5458,LOW
PartyA,5298,LOW
PartyA,1408,MEDIUM
PartyC,1581,MEDIUM
PartyD,6450,LOW
PartyC,1559,MEDIUM
PartyD,6906,LOW
PartyC,5426,LOW
PartyD,6003,LOW
PartyA,5988,LOW
PartyC,-850,VERY HIGH
PartyC,5458,LOW
PartyA,6838,LOW
PartyB,5692,LOW
PartyC,2469,MEDIUM
PartyA,6275,LOW
PartyB,7750,LOW
PartyC,7118,LOW
PartyB,5775,LOW
PartyB,0,HIGH
PartyA,5808,LOW
PartyC,1660,MEDIUM
PartyA,2380,MEDIUM
PartyC,1569,MEDIUM
PartyA,5544,LOW
PartyC,1112,MEDIUM
PartyC,1300,MEDIUM
PartyD,2431,MEDIUM
PartyD,5000,LOW
PartyC,6470,LOW
PartyC,1688,MEDIUM
PartyB,7314,LOW
PartyD,7012,LOW
PartyA,1320,MEDIUM
PartyA,2045,MEDIUM
PartyC,170,HIGH
PartyC,6781,LOW
PartyB,1695,MEDIUM
PartyB,116,HIGH
PartyD,5294,LOW
PartyA,-120,VERY HIGH
PartyB,5994,LOW
PartyD,6882,LOW
PartyC,6122,LOW
PartyA,5077,LOW
PartyD,5000,LOW
PartyB,6558,LOW
PartyA,1022,MEDIUM
PartyB,1378,MEDIUM
PartyC,5163,LOW
PartyB,6522,LOW
PartyD,6435,LOW
PartyC,96,HIGH
PartyA,101,HIGH
PartyD,-2450,VERY HIGH
PartyC,5232,LOW
PartyD,1290,MEDIUM
PartyA,7093,LOW
PartyA,-1890,VERY HIGH
PartyB,-7820,VERY HIGH
PartyA,-2210,VERY HIGH
PartyB,5320,LOW
PartyD,163,HIGH
PartyA,5758,LOW
PartyB,1074,MEDIUM
PartyC,6068,LOW
PartyB,-3120,VERY HIGH
PartyA,2199,MEDIUM
PartyC,-1060,VERY HIGH
PartyC,34,HIGH
PartyC,1673,MEDIUM
PartyC,7426,LOW
PartyA,5521,LOW
PartyA,7588,LOW
PartyB,7886,LOW
PartyB,2190,MEDIUM
PartyB,2053,MEDIUM
PartyB,158,HIGH
PartyC,7494,LOW
PartyA,1149,MEDIUM
PartyC,7054,LOW
PartyC,1712,MEDIUM
PartyC,-5700,VERY HIGH
PartyC,5258,LOW
PartyC,7124,LOW
PartyA,2009,MEDIUM
PartyD,5166,LOW
PartyB,6154,LOW
PartyA,7440,LOW
PartyC,7392,LOW
PartyD,-540,VERY HIGH
PartyC,6515,LOW
PartyB,-2780,VERY HIGH
PartyB,1683,MEDIUM
PartyB,16,HIGH
PartyD,-475,VERY HIGH
PartyC,1000,MEDIUM
PartyD,6216,LOW
PartyC,6148,LOW
PartyA,7722,LOW
PartyC,5806,LOW
PartyD,1406,MEDIUM
PartyC,6818,LOW
PartyB,150,HIGH
PartyB,5244,LOW
PartyB,7361,LOW
PartyC,5063,LOW
PartyB,5613,LOW
PartyC,360,HIGH
PartyC,-6800,VERY HIGH
PartyB,7331,LOW
PartyC,5602,LOW
PartyB,6655,LOW
PartyD,6826,LOW
PartyB,5369,LOW
PartyD,6836,LOW
PartyD,5174,LOW
PartyB,5072,LOW
PartyD,7374,LOW
PartyD,5000,LOW
PartyC,1436,MEDIUM
PartyD,2448,MEDIUM
PartyD,6191,LOW
PartyA,6672,LOW
PartyB,5484,LOW
PartyA,5058,LOW
PartyB,6176,LOW
PartyD,5037,LOW
PartyD,5078,LOW
PartyB,1469,MEDIUM
PartyB,0,HIGH
PartyB,5689,LOW
PartyA,7451,LOW
PartyD,-3620,VERY HIGH
PartyC,6666,LOW
PartyB,6312,LOW
PartyB,6273,LOW
PartyC,6008,LOW
PartyA,7062,LOW
PartyC,1823,MEDIUM
PartyA,5526,LOW
PartyA,6763,LOW
PartyB,1537,MEDIUM
PartyC,5429,LOW
PartyC,-5500,VERY HIGH
PartyA,1037,MEDIUM
PartyA,170,HIGH
PartyB,0,HIGH
PartyB,-2260,VERY HIGH
PartyB,2062,MEDIUM
PartyC,1000,MEDIUM
PartyC,-160,VERY HIGH
PartyB,1418,MEDIUM
PartyA,6920,LOW
PartyD,1038,MEDIUM
PartyD,6713,LOW
PartyC,1000,MEDIUM
PartyB,-7160,VERY HIGH
PartyA,5177,LOW
PartyB,5848,LOW
PartyB,7485,LOW
PartyD,-760,VERY HIGH
PartyB,6251,LOW
PartyA,2452,MEDIUM
PartyD,1743,MEDIUM
PartyA,5057,LOW
PartyB,-2400,VERY HIGH
PartyD,1620,MEDIUM
PartyC,182,HIGH
PartyD,6532,LOW
PartyB,6814,LOW
PartyD,7920,LOW
PartyC,5529,LOW
PartyB,5664,LOW
PartyB,2384,MEDIUM
PartyA,1399,MEDIUM
PartyD,2149,MEDIUM
PartyD,-1500,VERY HIGH
PartyD,1626,MEDIUM
PartyD,1436,MEDIUM
PartyA,5902,LOW
PartyD,1191,MEDIUM
PartyA,1168,MEDIUM
PartyA,6630,LOW
PartyD,5636,LOW
PartyA,-5380,VERY HIGH
PartyC,1000,MEDIUM
PartyD,6330,LOW
PartyB,5736,LOW
PartyD,-1730,VERY HIGH
PartyC,6758,LOW
PartyC,7040,LOW
PartyB,1620,MEDIUM
PartyC,5970,LOW
PartyC,5433,LOW
PartyB,6104,LOW
PartyD,2185,MEDIUM
PartyA,28,HIGH
PartyB,7060,LOW
PartyB,5500,LOW
PartyD,-220,VERY HIGH
PartyA,2092,MEDIUM
PartyC,68,HIGH
PartyC,7,HIGH
PartyC,5745,LOW
PartyD,116,HIGH
PartyB,7598,LOW
PartyB,5582,LOW
PartyB,5400,LOW
PartyB,1458,MEDIUM
PartyC,2222,MEDIUM
PartyA,212,HIGH
PartyC,1916,MEDIUM
PartyD,7323,LOW
PartyB,7016,LOW
PartyC,174,HIGH
PartyA,2246,MEDIUM
PartyD,7262,LOW
PartyD,2244,MEDIUM
PartyB,5342,LOW
PartyD,1381,MEDIUM
PartyB,5836,LOW
PartyD,5000,LOW
PartyB,1535,MEDIUM
PartyC,6788,LOW
PartyD,1805,MEDIUM
PartyC,446,HIGH
PartyA,6068,LOW
PartyA,6637,LOW
PartyB,2472,MEDIUM
PartyA,6850,LOW
PartyD,5132,LOW
PartyD,-1850,VERY HIGH
PartyC,7092,LOW
PartyB,0,HIGH
PartyA,103,HIGH
PartyB,1336,MEDIUM
PartyC,2224,MEDIUM
PartyD,7446,LOW
PartyD,1563,MEDIUM
PartyD,5585,LOW
PartyD,2350,MEDIUM
PartyA,7386,LOW
PartyD,-260,VERY HIGH
PartyD,7958,LOW
PartyC,5692,LOW
PartyB,5740,LOW
PartyC,7446,LOW
PartyD,-5220,VERY HIGH
PartyB,5805,LOW
PartyA,6309,LOW
PartyC,-100,VERY HIGH
PartyC,1187,MEDIUM
PartyD,1708,MEDIUM
PartyD,5061,LOW
PartyD,5258,LOW
PartyB,1824,MEDIUM
PartyA,2122,MEDIUM
PartyD,5211,LOW
PartyC,6552,LOW
PartyC,1000,MEDIUM
PartyC,5286,LOW
PartyC,1893,MEDIUM
PartyB,7706,LOW
PartyC,2007,MEDIUM
PartyC,7249,LOW
PartyD,5128,LOW
PartyC,1408,MEDIUM
PartyB,2148,MEDIUM
PartyD,-2000,VERY HIGH
PartyD,1200,MEDIUM
PartyB,5929,LOW
PartyC,2452,MEDIUM
PartyA,6880,LOW
PartyB,5936,LOW
PartyB,5198,LOW
PartyA,-950,VERY HIGH
PartyA,1146,MEDIUM
PartyB,5588,LOW
PartyD,6792,LOW
PartyB,284,HIGH
PartyB,7408,LOW
PartyC,7164,LOW
PartyC,6778,LOW
PartyC,2153,MEDIUM
PartyC,1712,MEDIUM
PartyB,7037,LOW
PartyD,1778,MEDIUM
PartyD,250,HIGH
PartyA,1832,MEDIUM
PartyC,1084,MEDIUM
PartyD,6122,LOW
PartyA,5796,LOW
PartyA,-6580,VERY HIGH
PartyC,7280,LOW
PartyC,6116,LOW
PartyD,1467,MEDIUM
PartyA,5339,LOW
PartyD,6816,LOW
PartyC,6048,LOW
PartyC,7194,LOW
PartyB,7259,LOW
PartyD,6041,LOW
PartyA,6566,LOW
PartyB,5165,LOW
PartyC,5639,LOW
PartyC,5014,LOW
PartyA,-120,VERY HIGH
PartyB,-940,VERY HIGH
PartyA,6393,LOW
PartyD,7740,LOW
PartyB,-1410,VERY HIGH
PartyA,7262,LOW
PartyB,5510,LOW
PartyC,5983,LOW
PartyD,7154,LOW
PartyC,6650,LOW
PartyD,2011,MEDIUM
PartyA,6296,LOW
PartyA,5148,LOW
PartyD,-980,VERY HIGH
PartyD,5118,LOW
PartyD,5000,LOW
PartyC,6048,LOW
PartyA,-1900,VERY HIGH
PartyA,2272,MEDIUM
PartyB,5533,LOW
PartyD,6352,LOW
PartyA,7085,LOW
PartyC,2297,MEDIUM
PartyD,1601,MEDIUM
PartyA,432,HIGH
PartyC,5399,LOW
PartyC,2230,MEDIUM
PartyA,-270,VERY HIGH
PartyB,7036,LOW
PartyA,-1310,VERY HIGH
PartyA,2320,MEDIUM
PartyC,1000,MEDIUM
PartyC,5312,LOW
PartyC,-50,VERY HIGH
PartyC,5702,LOW
PartyC,1000,MEDIUM
PartyB,0,HIGH
PartyB,1732,MEDIUM
PartyA,5782,LOW
PartyA,1870,MEDIUM
PartyC,7186,LOW
PartyD,-840,VERY HIGH
PartyB,1064,MEDIUM
PartyA,7144,LOW
PartyD,6914,LOW
PartyB,1629,MEDIUM
PartyB,2362,MEDIUM
PartyD,200,HIGH
PartyD,2113,MEDIUM
PartyB,1356,MEDIUM
PartyB,6280,LOW
PartyC,7395,LOW
PartyC,6335,LOW
PartyA,1025,MEDIUM
PartyB,5181,LOW
PartyD,1072,MEDIUM
PartyA,5881,LOW
PartyC,1720,MEDIUM
PartyC,6852,LOW
PartyB,5831,LOW
PartyA,-330,VERY HIGH
